2026-01-10 04:58:25.107 | INFO     | ArbitrageBot         | system_orchestrator.py:187 | ✅ Enterprise logging initialized for system: ARB_1768013905_94276
2026-01-10 04:58:25.108 | INFO     | ArbitrageBot         | system_orchestrator.py:227 | ✅ Configuration loaded from config/bot_config.json
2026-01-10 04:58:25.109 | INFO     | ArbitrageBot         | system_orchestrator.py:269 | 🔄 Initializing system components...
2026-01-10 04:58:27.908 | INFO     | ArbitrageBot         | system_orchestrator.py:389 | ✅ KRAKEN connected - Pairs: 3/3
2026-01-10 04:58:29.331 | INFO     | ArbitrageBot         | system_orchestrator.py:389 | ✅ BINANCE connected - Pairs: 3/3
2026-01-10 04:58:32.390 | INFO     | ArbitrageBot         | system_orchestrator.py:389 | ✅ COINBASE connected - Pairs: 3/3
2026-01-10 04:58:32.391 | INFO     | ArbitrageBot         | system_orchestrator.py:284 | ✅ Market intelligence modules initialized
2026-01-10 04:58:32.391 | ERROR    | ArbitrageBot         | system_orchestrator.py:297 | ⚠️  Monitoring initialization failed: name 'os' is not defined
2026-01-10 04:58:34.577 | INFO     | ArbitrageBot         | system_orchestrator.py:444 | 📡 Network latency: 728.6ms (samples: 3)
2026-01-10 04:58:34.578 | INFO     | ArbitrageBot         | system_orchestrator.py:462 | 🔄 HIGH_LATENCY mode activated (REST polling)
2026-01-10 04:58:34.578 | INFO     | ArbitrageBot         | system_orchestrator.py:307 | ✅ Data infrastructure initialized - Mode: HIGH_LATENCY
2026-01-10 04:58:34.579 | INFO     | ArbitrageBot         | system_orchestrator.py:317 | ✅ DataHub initialized (standby mode)
2026-01-10 04:58:34.579 | INFO     | ArbitrageBot         | system_orchestrator.py:323 | 🎯 All system components initialized successfully
2026-01-10 04:58:34.579 | INFO     | ArbitrageBot         | system_orchestrator.py:479 | ======================================================================
2026-01-10 04:58:34.579 | INFO     | ArbitrageBot         | system_orchestrator.py:480 | 🚀 PROFESSIONAL ARBITRAGE TRADING SYSTEM
2026-01-10 04:58:34.579 | INFO     | ArbitrageBot         | system_orchestrator.py:481 |    System ID: ARB_1768013905_94276
2026-01-10 04:58:34.579 | INFO     | ArbitrageBot         | system_orchestrator.py:482 |    Version: 2.0.0 | Architecture: Microservices Integration
2026-01-10 04:58:34.579 | INFO     | ArbitrageBot         | system_orchestrator.py:483 |    Start Time: 2026-01-10 04:58:34
2026-01-10 04:58:34.579 | INFO     | ArbitrageBot         | system_orchestrator.py:484 |    PID: 94276
2026-01-10 04:58:34.579 | INFO     | ArbitrageBot         | system_orchestrator.py:485 |    Python: 3.14.2 (main, Jan  8 2026, 15:48:33) [Clang 14.0.3 (clang-1403.0.22.14.1)]
2026-01-10 04:58:34.621 | INFO     | ArbitrageBot         | system_orchestrator.py:486 |    Platform: macOS-13.2.1-arm64-arm-64bit-Mach-O
2026-01-10 04:58:34.621 | INFO     | ArbitrageBot         | system_orchestrator.py:487 | ----------------------------------------------------------------------
2026-01-10 04:58:34.621 | INFO     | ArbitrageBot         | system_orchestrator.py:488 | 📊 SYSTEM CONFIGURATION:
2026-01-10 04:58:34.621 | INFO     | ArbitrageBot         | system_orchestrator.py:489 |    Mode: HIGH_LATENCY
2026-01-10 04:58:34.621 | INFO     | ArbitrageBot         | system_orchestrator.py:490 |    Latency: 728.6ms
2026-01-10 04:58:34.621 | INFO     | ArbitrageBot         | system_orchestrator.py:491 |    Exchanges: 3 connected
2026-01-10 04:58:34.621 | INFO     | ArbitrageBot         | system_orchestrator.py:492 |    Min Stable/Exchange: $1500.0
2026-01-10 04:58:34.622 | INFO     | ArbitrageBot         | system_orchestrator.py:493 |    Position Size: $500.0
2026-01-10 04:58:34.622 | INFO     | ArbitrageBot         | system_orchestrator.py:494 |    Min Profit/Trade: $0.5
2026-01-10 04:58:34.622 | INFO     | ArbitrageBot         | system_orchestrator.py:495 | ======================================================================
2026-01-10 04:58:34.622 | INFO     | ArbitrageBot         | system_orchestrator.py:499 | 🏁 Starting main trading loop...
2026-01-10 04:58:34.622 | INFO     | ArbitrageBot         | system_orchestrator.py:505 | ✅ Data feed started: RESTPollingFeed
2026-01-10 04:58:38.937 | ERROR    | ArbitrageBot         | system_orchestrator.py:675 | ❌ Error fetching kraken balance: 'float' object is not iterable
2026-01-10 04:58:39.151 | ERROR    | ArbitrageBot         | system_orchestrator.py:675 | ❌ Error fetching binance balance: 'float' object is not iterable
2026-01-10 04:58:39.859 | ERROR    | ArbitrageBot         | system_orchestrator.py:675 | ❌ Error fetching coinbase balance: 'float' object is not iterable
2026-01-10 04:58:49.163 | ERROR    | ArbitrageBot         | system_orchestrator.py:675 | ❌ Error fetching kraken balance: 'float' object is not iterable
2026-01-10 04:58:49.358 | ERROR    | ArbitrageBot         | system_orchestrator.py:675 | ❌ Error fetching binance balance: 'float' object is not iterable
2026-01-10 04:58:49.940 | ERROR    | ArbitrageBot         | system_orchestrator.py:675 | ❌ Error fetching coinbase balance: 'float' object is not iterable
2026-01-10 04:58:53.083 | WARNING  | ArbitrageBot         | system_orchestrator.py:471 | 🚨 Received signal 2, initiating graceful shutdown...
2026-01-10 04:58:54.942 | INFO     | ArbitrageBot         | system_orchestrator.py:1041 | 🛑 Initiating graceful system shutdown...
2026-01-10 04:58:54.942 | INFO     | ArbitrageBot         | system_orchestrator.py:1047 | ✅ Data feed stopped
2026-01-10 04:58:54.943 | INFO     | ArbitrageBot         | system_orchestrator.py:1030 | 📈 System Metrics: Cycles: 2 | Trades: 0 | Profit: $0.0 | Win Rate: 0.0% | API Success: 100.0%
2026-01-10 04:58:54.943 | INFO     | ArbitrageBot         | system_orchestrator.py:1066 | ======================================================================
2026-01-10 04:58:54.943 | INFO     | ArbitrageBot         | system_orchestrator.py:1067 | 📊 SESSION SUMMARY:
2026-01-10 04:58:54.943 | INFO     | ArbitrageBot         | system_orchestrator.py:1068 |    Duration: 0.01 hours
2026-01-10 04:58:54.943 | INFO     | ArbitrageBot         | system_orchestrator.py:1069 |    Total Cycles: 2
2026-01-10 04:58:54.944 | INFO     | ArbitrageBot         | system_orchestrator.py:1070 |    Total Trades: 0
